bin name chrom strand txStart txEnd cdsStart cdsEnd exonCount exonStarts exonEnds proteinID
585 YAL030W chrI + 87285 87752 87285 87752 2 87285,87500, 87387,87752, P31109
586 YAL003W chrI + 142173 143160 142173 143160 2 142173,142619, 142253,143160, P32471
586 YAL001C chrI - 147593 151166 147593 151166 2 147593,151096, 151006,151166, P34111
585 Q0045 chrM + 13817 26701 13817 26701 8 13817,16434,18953,20507,21994,23611,25317,26228, 13986,16470,18991,20984,22246,23746,25342,26701, P00401
585 Q0070 chrM + 13817 23167 13817 23167 5 13817,16434,18953,20507,21994, 13986,16470,18991,20984,23167, Q9ZZX1
585 Q0065 chrM + 13817 21935 13817 21935 4 13817,16434,18953,20507, 13986,16470,18991,21935, P03878
585 Q0060 chrM + 13817 19996 13817 19996 3 13817,16434,18953, 13986,16470,19996, P03877
585 Q0055 chrM + 13817 18830 13817 18830 2 13817,16434, 13986,18830, P03876
585 Q0075 chrM + 24155 25255 24155 25255 2 24155,24905, 24870,25255, Q9ZZX0
585 Q0105 chrM + 36539 43647 36539 43647 6 36539,37722,39140,40840,42507,43296, 36954,37736,39217,41090,42558,43647, P00163
585 Q0120 chrM + 36539 42251 36539 42251 4 36539,37722,39140,40840, 36954,37736,39217,42251, P03879
585 Q0115 chrM + 36539 40265 36539 40265 3 36539,37722,39140, 36954,37736,40265, Q9ZZW7
585 Q0110 chrM + 36539 38579 36539 38579 2 36539,37722, 36954,38579, P03873
585 Q0255 chrM + 74494 75984 74494 75984 3 74494,75662,75903, 75622,75872,75984, P03881
585 YEL076C-A chrV - 4184 5114 4184 5114 2 4184,4601, 4322,5114, P89887
586 YEL012W chrV + 131771 132551 131771 132551 2 131771,131899, 131776,132551, P28263
586 YEL003W chrV + 148175 148599 148175 148599 2 148175,148282, 148194,148599, P40005
586 YER003C chrV - 157735 159118 157735 159118 2 157735,159087, 158994,159118, P29952
586 YER007C-A chrV - 166236 166885 166236 166885 2 166236,166874, 166771,166885, P89886
586 YER014C-A chrV - 183730 184700 183730 184700 2 183730,184677, 184169,184700, P85052
586 YER044C-A chrV - 238459 239774 238459 239774 2 238459,239711, 239623,239774, P29467
587 YER056C-A chrV - 269422 270185 269422 270185 2 269422,270148, 269751,270185, P87262
587 YER074W chrV + 306322 307196 306322 307196 2 306322,306791, 306325,307196, P26782
587 YER074W-A chrV + 307652 308123 307652 308123 3 307652,307848,308067, 307746,307956,308123, Q3E834
587 YER093C-A chrV - 347911 348400 347911 348400 2 347911,348276, 348201,348400, P87275
588 YER117W chrV + 396768 397653 396768 397653 2 396768,397281, 396810,397653, P04451
588 YER133W chrV + 432494 433958 432494 433958 2 432494,433196, 432671,433958, P32598
588 YER138C chrV - 443755 449024 443755 449024 2 443755,447722, 447721,449024, Q03612
588 YER160C chrV - 492855 498124 492855 498124 2 492855,496822, 496821,498124, Q03619
589 YER179W chrV + 548420 549517 548420 549517 2 548420,548644, 548552,549517, P25453
585 YJL225C chrX - 465 6130 465 6130 2 465,4969, 4581,6130, P40889
585 YJL205C chrX - 50138 50443 50138 50443 2 50138,50411, 50268,50443, Q02820
585 YJL191W chrX + 73786 74611 73786 74611 2 73786,74204, 73796,74611, P39516
585 YJL189W chrX + 75932 76474 75932 76474 2 75932,76324, 75938,76474, P04650
585 YJL177W chrX + 90785 91657 90785 91657 2 90785,91411, 91094,91657, P46990
586 YJL136C chrX - 156549 157273 156549 157273 2 156549,157249, 156789,157273, Q3E754
586 YJL113W chrX + 198677 203325 198677 203325 2 198677,198999, 198998,203325, P47024
587 YJL041W chrX + 365783 368373 365783 368373 2 365783,365902, 365784,368373, P14907
587 YJL031C chrX - 386367 387438 386367 387438 2 386367,387435, 387348,387438, Q00618
588 YJL024C chrX - 395930 396592 395930 396592 2 395930,396570, 396493,396592, P47064
588 YJL001W chrX + 435162 435926 435162 435926 2 435162,435343, 435227,435926, P38624
588 YJR021C chrX - 468554 469579 468554 469579 2 468554,469263, 469183,469579, P21651
