bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID
73	YAL012W	chrI	+	130798	131983	130798	131983	1	130798,	131983,	P31373
585	YAL069W	chrI	+	334	649	334	649	1	334,	649,	n/a
585	YAL068W-A	chrI	+	537	792	537	792	1	537,	792,	n/a
585	YAL068C	chrI	-	1806	2169	1806	2169	1	1806,	2169,	P0CE93
585	YAL067W-A	chrI	+	2479	2707	2479	2707	1	2479,	2707,	Q8TGK6
585	YAL067C	chrI	-	7234	9016	7234	9016	1	7234,	9016,	P39709
585	YAL066W	chrI	+	10090	10399	10090	10399	1	10090,	10399,	n/a
585	YAL065C	chrI	-	11564	11951	11564	11951	1	11564,	11951,	O13511
585	YAL064W-B	chrI	+	12045	12426	12045	12426	1	12045,	12426,	O13512
585	YAL064C-A	chrI	-	13362	13743	13362	13743	1	13362,	13743,	Q6B2U8
585	YAL064W	chrI	+	21565	21850	21565	21850	1	21565,	21850,	P39711
585	YAL063C-A	chrI	-	22394	22685	22394	22685	1	22394,	22685,	Q3E791
585	YAL063C	chrI	-	23999	27968	23999	27968	1	23999,	27968,	P39712
585	YAL062W	chrI	+	31566	32940	31566	32940	1	31566,	32940,	P39708
585	YAL061W	chrI	+	33447	34701	33447	34701	1	33447,	34701,	P39713
585	YAL060W	chrI	+	35154	36303	35154	36303	1	35154,	36303,	P39714
585	YAL059C-A	chrI	-	36495	36918	36495	36918	1	36495,	36918,	n/a
585	YAL059W	chrI	+	36508	37147	36508	37147	1	36508,	37147,	P39715
585	YAL058W	chrI	+	37463	38972	37463	38972	1	37463,	38972,	P27825
585	YAL056C-A	chrI	-	38695	39046	38695	39046	1	38695,	39046,	n/a
585	YAL056W	chrI	+	39258	41901	39258	41901	1	39258,	41901,	P39717
585	YAL055W	chrI	+	42176	42719	42176	42719	1	42176,	42719,	P39718
585	YAL054C	chrI	-	42880	45022	42880	45022	1	42880,	45022,	Q01574
585	YAL053W	chrI	+	45898	48250	45898	48250	1	45898,	48250,	P39719
585	YAL051W	chrI	+	48563	51707	48563	51707	1	48563,	51707,	P39720
585	YAL049C	chrI	-	51854	52595	51854	52595	1	51854,	52595,	P39721
585	YAL048C	chrI	-	52800	54789	52800	54789	1	52800,	54789,	P39722
585	YAL047W-A	chrI	+	54583	54913	54583	54913	1	54583,	54913,	n/a
585	YAL047C	chrI	-	54988	56857	54988	56857	1	54988,	56857,	P39723
585	YAL046C	chrI	-	57028	57385	57028	57385	1	57028,	57385,	P39724
585	YAL045C	chrI	-	57487	57796	57487	57796	1	57487,	57796,	n/a
585	YAL044W-A	chrI	+	57517	57850	57517	57850	1	57517,	57850,	Q3E793
585	YAL044C	chrI	-	57949	58462	57949	58462	1	57949,	58462,	P39726
585	YAL043C	chrI	-	58694	61052	58694	61052	1	58694,	61052,	Q01329
585	YAL042C-A	chrI	-	61230	61608	61230	61608	1	61230,	61608,	n/a
585	YAL042W	chrI	+	61315	62563	61315	62563	1	61315,	62563,	P39727
585	YAL041W	chrI	+	62839	65404	62839	65404	1	62839,	65404,	P11433
585	YAL040C	chrI	-	65777	67520	65777	67520	1	65777,	67520,	P13365
585	YAL039C	chrI	-	68715	69525	68715	69525	1	68715,	69525,	P06182
585	YAL038W	chrI	+	71785	73288	71785	73288	1	71785,	73288,	P00549
585	YAL037C-B	chrI	-	72325	73300	72325	73300	1	72325,	73300,	n/a
585	YAL037C-A	chrI	-	73425	73518	73425	73518	1	73425,	73518,	Q3E741
585	YAL037W	chrI	+	74019	74823	74019	74823	1	74019,	74823,	P39728
585	YAL036C	chrI	-	75042	76152	75042	76152	1	75042,	76152,	P39729
585	YAL035W	chrI	+	76426	79435	76426	79435	1	76426,	79435,	P39730
585	YAL034C-B	chrI	-	79488	79842	79488	79842	1	79488,	79842,	n/a
585	YAL034W-A	chrI	+	79717	80587	79717	80587	1	79717,	80587,	P39731
585	YAL034C	chrI	-	80709	81951	80709	81951	1	80709,	81951,	P28003
585	YAL033W	chrI	+	82705	83227	82705	83227	1	82705,	83227,	P28005
585	YAL032C	chrI	-	83334	84474	83334	84474	1	83334,	84474,	P28004
585	YAL031W-A	chrI	+	84668	84977	84668	84977	1	84668,	84977,	n/a
585	YAL031C	chrI	-	84748	87031	84748	87031	1	84748,	87031,	P39732
585	YAL030W	chrI	+	87285	87752	87285	87752	2	87285,87500,	87387,87752,	P31109
585	YAL029C	chrI	-	87854	92270	87854	92270	1	87854,	92270,	P32492
585	YAL028W	chrI	+	92899	94486	92899	94486	1	92899,	94486,	P39734
585	YAL027W	chrI	+	94686	95472	94686	95472	1	94686,	95472,	P39735
585	YAL026C-A	chrI	-	95385	95823	95385	95823	1	95385,	95823,	n/a
585	YAL026C	chrI	-	95629	99697	95629	99697	1	95629,	99697,	P39524
585	YAL025C	chrI	-	100224	101145	100224	101145	1	100224,	101145,	P10962
585	YAL024C	chrI	-	101564	105872	101564	105872	1	101564,	105872,	P07866
585	YAL023C	chrI	-	106271	108551	106271	108551	1	106271,	108551,	P31382
585	YAL022C	chrI	-	108876	110430	108876	110430	1	108876,	110430,	P31381
585	YAL021C	chrI	-	110845	113359	110845	113359	1	110845,	113359,	P31384
585	YAL020C	chrI	-	113613	114615	113613	114615	1	113613,	114615,	P31386
585	YAL019W-A	chrI	+	114249	114819	114249	114819	1	114249,	114819,	n/a
585	YAL019W	chrI	+	114918	118314	114918	118314	1	114918,	118314,	P31380
585	YAL018C	chrI	-	118563	119541	118563	119541	1	118563,	119541,	P31379
585	YAL017W	chrI	+	120224	124295	120224	124295	1	120224,	124295,	P31374
585	YAL016C-B	chrI	-	124306	124492	124306	124492	1	124306,	124492,	n/a
585	YAL016C-A	chrI	-	124754	125069	124754	125069	1	124754,	125069,	n/a
585	YAL016W	chrI	+	124878	126786	124878	126786	1	124878,	126786,	P31383
585	YAL015C	chrI	-	126902	128102	126902	128102	1	126902,	128102,	P31378
585	YAL014C	chrI	-	128251	129019	128251	129019	1	128251,	129019,	P31377
585	YAL013W	chrI	+	129269	130487	129269	130487	1	129269,	130487,	P31385
586	YAL011W	chrI	+	132198	134076	132198	134076	1	132198,	134076,	P31376
586	YAL010C	chrI	-	134183	135665	134183	135665	1	134183,	135665,	P18409
586	YAL009W	chrI	+	135853	136633	135853	136633	1	135853,	136633,	P18410
586	YAL008W	chrI	+	136913	137510	136913	137510	1	136913,	137510,	P18411
586	YAL007C	chrI	-	137697	138345	137697	138345	1	137697,	138345,	P39704
586	YAL005C	chrI	-	139502	141431	139502	141431	1	139502,	141431,	P10591
586	YAL004W	chrI	+	140759	141407	140759	141407	1	140759,	141407,	n/a
586	YAL003W	chrI	+	142173	143160	142173	143160	2	142173,142619,	142253,143160,	P32471
586	YAL002W	chrI	+	143706	147531	143706	147531	1	143706,	147531,	P39702
586	YAL001C	chrI	-	147593	151166	147593	151166	2	147593,151096,	151006,151166,	P34111
586	YAR002W	chrI	+	152256	153876	152256	153876	1	152256,	153876,	P39705
586	YAR002C-A	chrI	-	154064	154724	154064	154724	1	154064,	154724,	Q05359
586	YAR003W	chrI	+	155004	156285	155004	156285	1	155004,	156285,	P39706
586	YAR007C	chrI	-	156753	158619	156753	158619	1	156753,	158619,	P22336
586	YAR008W	chrI	+	158965	159793	158965	159793	1	158965,	159793,	P39707
586	YAR009C	chrI	-	160596	164187	160596	164187	1	160596,	164187,	A5JYZ4
586	YAR010C	chrI	-	164543	165866	164543	165866	1	164543,	165866,	O13528
586	YAR014C	chrI	-	166741	168871	166741	168871	1	166741,	168871,	P27637
586	YAR015W	chrI	+	169374	170295	169374	170295	1	169374,	170295,	P27616
586	YAR018C	chrI	-	170395	171703	170395	171703	1	170395,	171703,	P22209
586	YAR019C	chrI	-	172210	175135	172210	175135	1	172210,	175135,	P27636
586	YAR019W-A	chrI	+	174997	175330	174997	175330	1	174997,	175330,	n/a
586	YAR020C	chrI	-	176855	177023	176855	177023	1	176855,	177023,	P39545
586	YAR023C	chrI	-	179280	179820	179280	179820	1	179280,	179820,	D6VPM8
586	YAR027W	chrI	+	183769	184477	183769	184477	1	183769,	184477,	P39547
586	YAR028W	chrI	+	184891	185596	184891	185596	1	184891,	185596,	P39548
586	YAR029W	chrI	+	186320	186545	186320	186545	1	186320,	186545,	P39549
586	YAR030C	chrI	-	186511	186853	186511	186853	1	186511,	186853,	n/a
586	YAR031W	chrI	+	186835	187732	186835	187732	1	186835,	187732,	P39551
586	YAR033W	chrI	+	188106	188811	188106	188811	1	188106,	188811,	P39552
586	YAR035W	chrI	+	190192	192256	190192	192256	1	190192,	192256,	P80235
586	YAR035C-A	chrI	-	192336	192417	192336	192417	1	192336,	192417,	Q8TGV0
586	YAR042W	chrI	+	192618	196185	192618	196185	1	192618,	196185,	P35845
586	YAR047C	chrI	-	201466	201787	201466	201787	1	201466,	201787,	n/a
586	YAR050W	chrI	+	203402	208016	203402	208016	1	203402,	208016,	P32768
586	YAR053W	chrI	+	208366	208663	208366	208663	1	208366,	208663,	n/a
586	YAR060C	chrI	-	217156	217492	217156	217492	1	217156,	217492,	n/a
